Model,Train_Accuracy,CV_Accuracy,Test_Accuracy,Precision,Recall,F1,ROC_AUC
Gradient Boosting,1.0,0.9231999999999999,0.9235668789808917,0.8656716417910447,0.9508196721311475,0.90625,0.9663592896174863
Random Forest,1.0,0.9280000000000002,0.9171974522292994,0.8636363636363636,0.9344262295081968,0.8976377952755905,0.9636270491803278
XGBoost,1.0,0.9248000000000001,0.910828025477707,0.8615384615384616,0.9180327868852459,0.8888888888888888,0.9622609289617486
Decision Tree,1.0,0.9104000000000001,0.8789808917197452,0.85,0.8360655737704918,0.8429752066115702,0.8711577868852459
